Date,League,HomeTeam,AwayTeam,HomeScore,AwayScore,OU_Line,TotalPoints,OU_Result,Home_Avg_MOV,Home_Avg_Pts_For,Home_Avg_Pts_Against,Home_Avg_OU_Hit_Rate,Away_Avg_MOV,Away_Avg_Pts_For,Away_Avg_Pts_Against,Away_Avg_OU_Hit_Rate,Avg_MOV_Diff,Avg_Pts_For_Diff,Avg_Pts_Against_Diff,Avg_OU_Hit_Rate_Diff
2022-11-24,NCAAB,Michigan,Alabama,70,81,146.0,151,1,11.6,77.2,65.6,0.4,-13.8,70.2,84.0,0.6,25.4,7.0,-18.400000000000006,-0.19999999999999996
2022-11-25,NBA,New,Portland,129,132,217.0,261,1,-5.8,93.3,99.1,0.6,-0.1,95.8,95.9,0.5,-5.7,-2.5,3.1999999999999886,0.09999999999999998
2022-11-25,NBA,Memphis,New,132,111,227.0,243,1,1.8,106.4,104.6,0.5,-6.8,94.4,101.2,0.7,8.6,12.0,3.3999999999999915,-0.19999999999999996
2022-11-25,NBA,Houston,Atlanta,128,122,233.0,250,1,-2.5,110.7,113.2,0.8,2.5,118.4,115.9,0.7,-5.0,-7.700000000000003,-2.700000000000003,0.10000000000000009
2022-11-25,NBA,San,Los,94,105,234.0,199,0,-3.7,77.6,81.3,0.3,-4.9,110.1,115.0,0.5,1.2000000000000002,-32.5,-33.7,-0.2
2022-11-25,NBA,Oklahoma,Chicago,123,119,233.0,242,1,6.6,100.1,93.5,0.6,-6.6,87.2,93.8,0.2,13.2,12.899999999999991,-0.29999999999999716,0.39999999999999997
2022-11-25,NBA,Phoenix,Detroit,108,102,224.0,210,0,5.6,111.4,105.8,0.3,-10.3,109.3,119.6,0.8,15.9,2.1000000000000085,-13.799999999999997,-0.5
2022-11-25,NBA,Los,Denver,104,114,219.0,218,0,-2.4,109.0,111.4,0.4,0.2,89.8,89.6,0.5,-2.6,19.200000000000003,21.80000000000001,-0.09999999999999998
2022-11-25,NCAAB,San,North,54,69,117.0,123,1,-1.1,77.5,78.6,0.3,-5.4,69.1,74.5,0.6,4.300000000000001,8.400000000000006,4.099999999999994,-0.3
2022-11-25,NCAAB,San,New,77,90,145.0,167,1,-3.9,75.9,79.8,0.4,-7.1,99.4,106.5,0.7,3.1999999999999997,-23.5,-26.700000000000003,-0.29999999999999993
2022-11-25,NCAAB,Washington,Detroit,96,54,140.0,150,1,3.6,88.2,84.6,0.4,-10.0,108.0,118.0,0.7,13.6,-19.799999999999997,-33.400000000000006,-0.29999999999999993
2022-11-25,NCAAB,Saint,Washington,64,68,127.0,132,1,8.8,78.2,69.4,0.9,6.1,90.9,84.8,0.5,2.700000000000001,-12.700000000000003,-15.399999999999991,0.4
2022-11-25,NCAAB,Loyola,Southern,58,76,137.0,134,0,-5.1,69.0,74.1,0.5,4.6,66.1,61.5,0.4,-9.7,2.9000000000000057,12.599999999999994,0.09999999999999998
2022-11-26,NBA,San,Los,138,143,231.0,281,1,-5.9,76.9,82.8,0.5,-4.1,108.1,112.2,0.4,-1.8000000000000007,-31.19999999999999,-29.400000000000006,0.09999999999999998
